country,confirmedCases,reportedDeaths
India,49391,1694
Pakistan,22550,526
Bangladesh,11719,186
Afghanistan,3392,104
Sri Lanka,795,9
Maldives,618,2
Nepal,99,0
Bhutan,7,0
