country,confirmedCases,reportedDeaths
Turkey,131744,3584
Iran,101650,6418
Saudi Arabia,31938,209
Qatar,17972,12
Israel,16314,238
Egypt,7201,452
Kuwait,6289,42
Morocco,5382,182
Algeria,4838,476
Bahrain,3842,8
Oman,2903,13
Iraq,2431,102
Tunisia,1022,43
Sudan,852,45
Lebanon,750,25
Palestine,543,4
Jordan,471,9
