country,confirmedCases,reportedDeaths
China,82883,4633
Singapore,20198,20
Japan,15374,566
Indonesia,12438,895
South Korea,10806,255
Philippines,10004,658
Australia,6875,97
Malaysia,6428,107
Thailand,2989,55
New Zealand,1488,21
Hong Kong,1041,4
Taiwan,439,6
Vietnam,271,0
Brunei,139,1
Cambodia,122,0
Macau,45,0
